n,min,model,pval,simslope,slope
295,5,PGLSSEYOPTIM,0.87,0,-6.16E-09
295,5,Compar,0.00476919,0,-3.68E-07
303,20,PGLSSEY,0.85,0,3.96E-09
303,20,PGLSSEYOPTIM,0.95,0,1.37E-09
303,20,Compar,0.00718918,0,2.17E-07
310,1,PGLSSEY,0.73,0,1.43E-08
310,1,PGLSSEYOPTIM,0.7,0,1.52E-08
310,1,Compar,0.176536097,0,-1.87E-07
309,5,PGLSSEY,0.77,0,1.03E-08
309,5,PGLSSEYOPTIM,0.84,0,-7.28E-09
309,5,Compar,0.018340129,0,-2.96E-07
299,1,PGLSSEY,0.28,0,-6.81E-08
299,1,PGLSSEYOPTIM,0.32,0,-6.19E-08
299,1,Compar,0.508793925,0,1.38E-07
304,1,PGLSSEY,0.74,0,-6.00E-09
304,1,PGLSSEYOPTIM,0.58,0,-9.75E-09
304,1,Compar,0.137555903,0,9.35E-08
305,10,PGLSSEY,0.12,0,-4.96E-08
305,10,PGLSSEYOPTIM,0.19,0,-4.26E-08
305,10,Compar,4.00E-05,0,-4.92E-07
307,10,PGLSSEY,0.93,0,2.04E-09
307,10,PGLSSEYOPTIM,0.77,0,-6.78E-09
307,10,Compar,0.011222312,0,1.99E-07
305,20,PGLSSEY,0.39,0,-2.08E-08
305,20,PGLSSEYOPTIM,0.39,0,-2.11E-08
NA,NA,Compar,NA,NA,NA
310,20,PGLSSEY,0.25,0,-1.72E-07
310,20,PGLSSEYOPTIM,0.25,0,-1.70E-07
310,20,Compar,5.46E-06,0,-2.59E-06
314,5,PGLSSEY,0.6,0,7.51E-09
314,5,PGLSSEYOPTIM,0.77,0,4.12E-09
314,5,Compar,1.49E-13,0,5.81E-07
310,5,PGLSSEY,0.8,0,-1.04E-08
310,5,PGLSSEYOPTIM,0.89,0,5.47E-09
310,5,Compar,0.020736791,0,3.33E-07
291,1,PGLSSEY,0.82,0,-4.48E-09
291,1,PGLSSEYOPTIM,0.84,0,3.95E-09
291,1,Compar,0.092929521,0,1.08E-07
306,1,PGLSSEY,0.36,0,-1.95E-08
306,1,PGLSSEYOPTIM,0.54,0,-1.34E-08
306,1,Compar,0.409815668,0,-7.08E-08
297,10,PGLSSEY,0.27,0,-2.21E-08
297,10,PGLSSEYOPTIM,0.26,0,-2.22E-08
297,10,Compar,0.140770879,0,-1.03E-07
304,5,PGLSSEY,0.26,0,-1.92E-08
304,5,PGLSSEYOPTIM,0.12,0,-2.71E-08
NA,NA,Compar,NA,NA,NA
305,20,PGLSSEY,0.8,0,-4.43E-09
305,20,PGLSSEYOPTIM,0.82,0,-4.01E-09
NA,NA,Compar,NA,NA,NA
301,10,PGLSSEY,0.48,0,2.34E-08
301,10,PGLSSEYOPTIM,0.51,0,2.33E-08
301,10,Compar,0.806117023,0,2.88E-08
302,10,PGLSSEY,0.98,0,3.18E-10
302,10,PGLSSEYOPTIM,0.82,0,-3.02E-09
NA,NA,Compar,NA,NA,NA
